AccountID,CustomerAge,CustomerOccupation,AccountBalance,PreviousTransactionDate
AC00128,70,Doctor,5112.21,2024-11-04 08:08:08
AC00455,68,Doctor,13758.91,2024-11-04 08:09:35
AC00019,19,Student,1122.35,2024-11-04 08:07:04
AC00070,26,Student,8569.06,2024-11-04 08:09:06
AC00411,26,Student,7429.4,2024-11-04 08:06:39
AC00393,18,Student,781.68,2024-11-04 08:06:36
AC00199,37,Doctor,13316.71,2024-11-04 08:10:09
AC00069,67,Retired,2796.24,2024-11-04 08:10:55
AC00135,51,Engineer,9095.14,2024-11-04 08:11:14
AC00385,55,Doctor,1021.88,2024-11-04 08:06:32
AC00150,52,Engineer,7599.52,2024-11-04 08:06:45
AC00459,21,Student,1528.81,2024-11-04 08:07:12
AC00392,24,Student,1620.02,2024-11-04 08:08:38
AC00264,26,Student,189.69,2024-11-04 08:07:06
AC00085,18,Student,299.93,2024-11-04 08:10:09
AC00270,36,Engineer,3465.54,2024-11-04 08:12:19
AC00317,19,Student,1131.26,2024-11-04 08:07:35
AC00359,39,Engineer,5109.97,2024-11-04 08:11:51
AC00242,59,Retired,7948.37,2024-11-04 08:12:01
AC00285,18,Student,6568.59,2024-11-04 08:09:20
AC00002,71,Retired,5750.89,2024-11-04 08:09:24
AC00014,38,Doctor,9146.19,2024-11-04 08:08:13
AC00095,39,Engineer,8974.93,2024-11-04 08:07:01
AC00453,22,Student,1402.5,2024-11-04 08:07:04
AC00241,21,Student,1930.96,2024-11-04 08:07:09
AC00041,65,Retired,3634.67,2024-11-04 08:09:44
AC00441,23,Student,673.35,2024-11-04 08:11:38
AC00057,37,Engineer,2686.52,2024-11-04 08:11:59
AC00390,44,Doctor,1772.06,2024-11-04 08:11:22
AC00313,27,Student,1351.69,2024-11-04 08:08:30
AC00367,59,Doctor,8334.47,2024-11-04 08:09:17
AC00291,29,Doctor,9823.64,2024-11-04 08:06:58
AC00060,49,Engineer,9690.15,2024-11-04 08:11:13
AC00359,22,Student,399.0,2024-11-04 08:07:50
AC00365,45,Doctor,14815.87,2024-11-04 08:10:51
AC00267,49,Engineer,5764.72,2024-11-04 08:06:23
AC00404,26,Student,900.61,2024-11-04 08:12:18
AC00202,75,Retired,4875.86,2024-11-04 08:11:15
AC00478,66,Doctor,7914.88,2024-11-04 08:11:17
AC00405,55,Retired,1019.39,2024-11-04 08:07:32
AC00421,63,Retired,4323.66,2024-11-04 08:07:31
AC00480,38,Doctor,14214.48,2024-11-04 08:11:45
AC00120,57,Doctor,13357.02,2024-11-04 08:09:03
AC00117,19,Student,241.79,2024-11-04 08:08:03
AC00011,27,Student,868.61,2024-11-04 08:09:53
AC00401,74,Retired,4673.28,2024-11-04 08:11:12
AC00282,26,Student,1509.27,2024-11-04 08:10:33
AC00439,19,Student,781.7,2024-11-04 08:11:35
AC00296,26,Student,265.51,2024-11-04 08:07:24
AC00471,41,Engineer,1335.09,2024-11-04 08:06:31
AC00159,69,Retired,3907.54,2024-11-04 08:07:07
AC00482,51,Engineer,5183.85,2024-11-04 08:09:02
AC00115,67,Doctor,14904.9,2024-11-04 08:06:45
AC00055,28,Student,918.88,2024-11-04 08:08:58
AC00419,62,Retired,4477.78,2024-11-04 08:10:42
AC00374,25,Student,1324.03,2024-11-04 08:09:15
AC00271,57,Retired,3534.93,2024-11-04 08:09:57
AC00456,68,Retired,4638.37,2024-11-04 08:07:49
AC00143,48,Engineer,5630.61,2024-11-04 08:07:09
AC00427,23,Student,930.3,2024-11-04 08:11:37
AC00438,46,Engineer,5499.91,2024-11-04 08:06:25
AC00002,79,Retired,4175.02,2024-11-04 08:11:03
AC00425,48,Engineer,6651.62,2024-11-04 08:08:09
AC00325,56,Engineer,8458.29,2024-11-04 08:08:01
AC00434,50,Doctor,13988.12,2024-11-04 08:11:32
AC00242,42,Engineer,2585.07,2024-11-04 08:11:41
AC00319,56,Retired,3014.75,2024-11-04 08:10:12
AC00460,25,Student,1951.42,2024-11-04 08:12:10
AC00461,60,Engineer,3665.77,2024-11-04 08:07:11
AC00395,32,Engineer,977.01,2024-11-04 08:08:42
AC00217,44,Engineer,3846.28,2024-11-04 08:10:18
AC00053,35,Engineer,6374.82,2024-11-04 08:09:26
AC00282,62,Retired,5866.01,2024-11-04 08:12:15
AC00110,26,Student,6537.62,2024-11-04 08:08:45
AC00265,20,Student,605.95,2024-11-04 08:06:51
AC00239,37,Engineer,6689.87,2024-11-04 08:09:17
AC00007,22,Student,634.17,2024-11-04 08:08:22
AC00022,44,Doctor,14676.05,2024-11-04 08:11:36
AC00464,19,Student,1362.39,2024-11-04 08:06:50
AC00014,50,Doctor,10528.34,2024-11-04 08:10:29
AC00406,38,Engineer,552.52,2024-11-04 08:09:51
AC00445,58,Engineer,6451.96,2024-11-04 08:08:16
AC00236,63,Retired,4715.84,2024-11-04 08:11:07
AC00220,49,Doctor,7176.86,2024-11-04 08:09:38
AC00140,34,Doctor,1523.72,2024-11-04 08:09:42
AC00098,54,Engineer,8654.28,2024-11-04 08:06:53
AC00303,64,Doctor,9869.93,2024-11-04 08:12:05
AC00373,48,Doctor,10556.81,2024-11-04 08:07:32
AC00438,58,Doctor,12883.91,2024-11-04 08:09:10
AC00437,24,Student,791.65,2024-11-04 08:08:38
AC00106,60,Retired,4064.02,2024-11-04 08:08:12
AC00310,53,Engineer,2929.91,2024-11-04 08:08:01
AC00149,21,Student,618.05,2024-11-04 08:10:44
AC00373,19,Student,1375.8,2024-11-04 08:08:21
AC00425,29,Engineer,1143.52,2024-11-04 08:08:04
AC00010,51,Engineer,7708.41,2024-11-04 08:09:32
AC00348,27,Student,1872.96,2024-11-04 08:10:47
AC00011,57,Engineer,201.04,2024-11-04 08:11:05
AC00453,71,Retired,2115.8,2024-11-04 08:07:22
AC00178,37,Doctor,7643.66,2024-11-04 08:08:38
AC00265,30,Engineer,8901.93,2024-11-04 08:11:07
AC00018,20,Student,9383.43,2024-11-04 08:10:02
AC00075,55,Doctor,1181.31,2024-11-04 08:10:52
