,TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,MerchantID,TransactionDuration,LoginAttempts
0,TX000001,AC00128,14.09,2023-04-11 16:29:14,Debit,San Diego,D000380,M015,81,1
1,TX000002,AC00455,376.24,2023-06-27 16:44:19,Debit,Houston,D000051,M052,141,1
2,TX000003,AC00019,126.29,2023-07-10 18:16:08,Debit,Mesa,D000235,M009,56,1
3,TX000004,AC00070,184.5,2023-05-05 16:32:11,Debit,Raleigh,D000187,M002,25,1
4,TX000005,AC00411,13.45,2023-10-16 17:51:24,Credit,Atlanta,D000308,M091,198,1
5,TX000006,AC00393,92.15,2023-04-03 17:15:01,Debit,Oklahoma City,D000579,M054,172,1
6,TX000007,AC00199,7.08,2023-02-15 16:36:48,Credit,Seattle,D000241,M019,139,1
7,TX000008,AC00069,171.42,2023-05-08 17:47:59,Credit,Indianapolis,D000500,M020,291,1
8,TX000009,AC00135,106.23,2023-03-21 16:59:46,Credit,Detroit,D000690,M035,86,1
9,TX000010,AC00385,815.96,2023-03-31 16:06:57,Debit,Nashville,D000199,M007,120,1
10,TX000011,AC00150,17.78,2023-03-14 16:46:10,Credit,Albuquerque,D000205,M073,59,1
11,TX000012,AC00459,190.02,2023-02-06 17:30:00,Debit,Memphis,D000589,M030,173,1
12,TX000013,AC00392,494.52,2023-06-07 17:21:28,Credit,Mesa,D000032,M057,111,1
13,TX000014,AC00264,781.76,2023-11-20 16:39:15,Debit,Memphis,D000054,M025,123,1
14,TX000015,AC00085,166.99,2023-02-13 16:53:57,Debit,Louisville,D000309,M017,134,1
15,TX000016,AC00270,465.45,2023-12-12 16:23:31,Debit,Denver,D000466,M025,129,1
16,TX000017,AC00317,555.8,2023-10-30 16:52:49,Credit,Austin,D000671,M048,158,1
17,TX000018,AC00359,492.93,2023-12-14 18:32:14,Debit,Columbus,D000432,M059,234,1
18,TX000019,AC00242,18.68,2023-02-21 16:56:50,Credit,Albuquerque,D000530,M054,106,1
19,TX000020,AC00285,71.48,2023-06-08 18:18:50,Credit,Columbus,D000039,M039,169,1
20,TX000021,AC00002,59.32,2023-02-28 16:36:58,Debit,Los Angeles,D000152,M040,38,1
21,TX000022,AC00014,85.77,2023-08-11 18:31:31,Debit,Las Vegas,D000268,M065,93,1
22,TX000023,AC00095,52.2,2023-06-06 18:54:15,Debit,Atlanta,D000142,M022,120,1
23,TX000024,AC00453,345.84,2023-05-02 18:25:46,Debit,Fort Worth,D000162,M083,142,3
24,TX000025,AC00241,145.54,2023-03-02 16:43:56,Debit,Raleigh,D000036,M028,96,1
25,TX000026,AC00041,7.49,2023-10-20 17:53:13,Credit,Houston,D000671,M043,276,1
26,TX000027,AC00441,246.93,2023-04-17 16:37:01,Debit,Miami,D000046,M029,158,5
27,TX000028,AC00057,40.32,2023-03-29 16:42:38,Debit,Milwaukee,D000310,M008,95,1
28,TX000029,AC00390,127.45,2023-01-24 16:18:32,Debit,Las Vegas,D000232,M092,197,1
29,TX000030,AC00313,56.17,2023-09-20 16:55:42,Debit,Detroit,D000297,M043,283,1
30,TX000031,AC00367,28.31,2023-07-17 17:49:22,Credit,Miami,D000587,M091,20,1
31,TX000032,AC00291,59.12,2023-02-06 16:24:24,Debit,Baltimore,D000282,M053,257,1
32,TX000033,AC00060,396.45,2023-09-25 16:26:00,Debit,New York,D000621,M007,168,3
33,TX000034,AC00359,877.81,2023-03-13 17:23:24,Debit,Los Angeles,D000111,M094,150,1
34,TX000035,AC00365,255.26,2023-10-27 16:42:49,Credit,San Francisco,D000357,M002,50,1
35,TX000036,AC00267,124.76,2023-10-16 16:32:56,Debit,Seattle,D000042,M002,45,1
36,TX000037,AC00404,78.13,2023-11-21 16:58:44,Debit,Milwaukee,D000250,M028,145,1
37,TX000038,AC00202,649.28,2023-03-02 17:53:32,Debit,San Jose,D000448,M074,137,1
38,TX000039,AC00478,795.31,2023-10-12 17:07:40,Debit,Mesa,D000077,M048,90,2
39,TX000040,AC00405,335.63,2023-01-24 17:17:20,Debit,Oklahoma City,D000038,M040,216,1
40,TX000041,AC00421,328.47,2023-07-31 18:39:50,Debit,San Antonio,D000557,M014,119,1
41,TX000042,AC00480,34.02,2023-01-09 16:13:21,Debit,Philadelphia,D000627,M046,19,1
42,TX000043,AC00120,241.42,2023-04-20 18:57:43,Credit,Charlotte,D000198,M044,116,1
43,TX000044,AC00117,55.32,2023-04-12 16:03:37,Debit,Tucson,D000197,M009,117,1
44,TX000045,AC00011,304.31,2023-07-26 16:52:28,Debit,Louisville,D000685,M005,33,1
45,TX000046,AC00401,435.27,2023-10-04 17:49:29,Debit,Chicago,D000297,M051,90,1
46,TX000047,AC00282,164.49,2023-12-13 16:01:38,Debit,Baltimore,D000103,M070,75,1
47,TX000048,AC00439,510.24,2023-10-09 16:29:40,Debit,Oklahoma City,D000397,M090,105,1
48,TX000049,AC00296,626.9,2023-11-27 16:45:57,Debit,Denver,D000284,M023,138,1
49,TX000050,AC00471,22.01,2023-03-27 16:45:18,Credit,Sacramento,D000304,M055,175,1
50,TX000051,AC00159,425.34,2023-02-13 16:59:39,Credit,Kansas City,D000661,M040,121,1
51,TX000052,AC00482,424.56,2023-02-21 17:45:55,Debit,Omaha,D000598,M015,264,1
52,TX000053,AC00115,85.43,2023-06-07 16:45:34,Debit,Virginia Beach,D000235,M078,145,1
53,TX000054,AC00055,169.5,2023-09-07 16:51:27,Debit,San Diego,D000442,M036,142,1
